"","Entropy1","Complexity1","Entropy2","Complexity2","Entropy3","Complexity3","Entropy4","Complexity4"
"34",0,0,0,0,0,0,0.769770431286028,0.320285995797649
"35",0,0,0,0,0,0,0.768079771974593,0.321120232614999
"36",0,0,0,0,0,0,0.767295112887838,0.320109919445113
"37",0,0,0,0,0,0,0.767187223482176,0.317816485600275
"38",0,0,0,0,0,0,0.77359688859259,0.315068738551699
"39",0,0,0,0,0,0,0.767066233034523,0.317549233603974
"40",0,0,0,0,0,0,0.771606353907214,0.317994070909591
"41",0,0,0,0,0,0,0.77101888217607,0.318217430312932
"42",0,0,0,0,0,0,0.771100359642275,0.31576583329817
"43",0,0,0,0,0,0,0.773228829985704,0.317883456375434
"44",0,0,0,0,0,0,0.766931153585186,0.31797662528469
"45",0,0,0,0,0,0,0.774241798205588,0.31328015337851
"46",0,0,0,0,0,0,0.772549879558407,0.31404342092724
"47",0,0,0,0,0,0,0.769748895145047,0.314643795982482
"48",0,0,0,0,0,0,0.769358307459899,0.317069556274352
"49",0,0,0,0,0,0,0.775414204984495,0.314971403290937
"50",0,0,0,0,0,0,0.768599322754182,0.321226209670986
"51",0,0,0,0,0,0,0.772212781811393,0.318410036478299
"52",0,0,0,0,0,0,0.765269063162261,0.319866331346279
"53",0,0,0,0,0,0,0.771487548155584,0.31754958142047
"54",0,0,0,0,0,0,0.768644723685879,0.320301340772261
"55",0,0,0,0,0,0,0.777747436577863,0.309143501270774
"56",0,0,0,0,0,0,0.769584245450135,0.320828243020947
"57",0,0,0,0,0,0,0.769237013516001,0.319420977640723
"58",0,0,0,0,0,0,0.772632927912709,0.314360825341098
"59",0,0,0,0,0,0,0.77008450067816,0.316728302026804
"60",0,0,0,0,0,0,0.770928236039589,0.317896234971437
"61",0,0,0,0,0,0,0.773089126588902,0.314861071917868
"62",0,0,0,0,0,0,0.772317837925694,0.316331524816167
"63",0,0,0,0,0,0,0.767657140406204,0.320415598983398
"64",0,0,0,0,0,0,0.772333489372895,0.316881348843047
"65",0,0,0,0,0,0,0.768678971502841,0.322076664467617
"66",0,0,0,0,0,0,0.77101419845908,0.316194397493452
"67",0,0,0,0,0,0,0.767567739300615,0.320890200962053
"68",0,0,0,0,0,0,0.773704609902548,0.314691613044768
"69",0,0,0,0,0,0,0.768971362212366,0.322036958701786
"70",0,0,0,0,0,0,0.77139494860917,0.318160782999726
"71",0,0,0,0,0,0,0.774091896661693,0.313705605671365
"72",0,0,0,0,0,0,0.770020308206473,0.316694364065354
"73",0,0,0,0,0,0,0.770232949586997,0.317796178358668
"74",0,0,0,0,0,0,0.770676329419207,0.315966845052679
"75",0,0,0,0,0,0,0.770489849047304,0.320447608415155
"76",0,0,0,0,0,0,0.764529276650287,0.320297993226989
"77",0,0,0,0,0,0,0.773230525464054,0.316183167503518
"78",0,0,0,0,0,0,0.770990489049154,0.319396099743106
"79",0,0,0,0,0,0,0.769948560372489,0.315196398444951
"80",0,0,0,0,0,0,0.769002414501413,0.322945238118696
"81",0,0,0,0,0,0,0.771426541416901,0.317194004951142
"82",0,0,0,0,0,0,0.768313449384233,0.318794294389445
"83",0,0,0,0,0,0,0.768869538560428,0.32022348372765
"84",0,0,0,0,0,0,0.769794227112762,0.315413814652225
"85",0,0,0,0,0,0,0.773590811775125,0.316163778720897
"86",0,0,0,0,0,0,0.770447488577136,0.315361885468579
"87",0,0,0,0,0,0,0.771510403526233,0.317732925887331
"88",0,0,0,0,0,0,0.771478213473312,0.318221086067594
"89",0,0,0,0,0,0,0.766869661485784,0.319329031051233
"90",0,0,0,0,0,0,0.767967870611389,0.322722181431644
"91",0,0,0,0,0,0,0.769122962175055,0.318457987230409
"92",0,0,0,0,0,0,0.765018501657875,0.322540718890664
"93",0,0,0,0,0,0,0.765539244342846,0.318811430033301
"94",0,0,0,0,0,0,0.770542573669306,0.317445905914466
"95",0,0,0,0,0,0,0.770388596467279,0.315556975395888
"96",0,0,0,0,0,0,0.770180093687958,0.319713624606976
"97",0,0,0,0,0,0,0.773787952215225,0.315110401078927
"98",0,0,0,0,0,0,0.771880408411934,0.317205892863121
"99",0,0,0,0,0,0,0.769967462589887,0.317736277656628
"100",0,0,0,0,0,0,0.768586963604274,0.317405945660949
